package_id,required_size,status,assigned_locker_id,assigned_locker_size
1,medium,accepted,46.0,medium
2,small,accepted,6.0,small
3,medium,accepted,46.0,medium
4,medium,accepted,46.0,medium
5,large,accepted,99.0,large
6,small,accepted,21.0,small
7,small,accepted,6.0,small
8,small,accepted,6.0,small
9,large,accepted,99.0,large
10,medium,accepted,46.0,medium
11,medium,accepted,46.0,medium
12,small,accepted,21.0,small
13,small,accepted,6.0,small
14,medium,accepted,53.0,medium
15,medium,accepted,46.0,medium
16,large,accepted,99.0,large
17,medium,accepted,46.0,medium
18,small,accepted,6.0,small
19,large,accepted,99.0,large
20,small,accepted,6.0,small
21,medium,accepted,46.0,medium
22,small,accepted,36.0,small
23,small,accepted,21.0,small
24,small,accepted,21.0,small
25,small,accepted,21.0,small
26,medium,accepted,46.0,medium
27,medium,accepted,60.0,medium
28,small,accepted,5.0,small
29,medium,accepted,60.0,medium
30,large,accepted,99.0,large
31,large,accepted,99.0,large
32,small,accepted,21.0,small
33,medium,accepted,46.0,medium
34,small,accepted,21.0,small
35,small,accepted,6.0,small
36,medium,accepted,46.0,medium
37,small,accepted,6.0,small
38,medium,accepted,46.0,medium
39,small,accepted,6.0,small
40,large,accepted,104.0,large
41,medium,accepted,46.0,medium
42,large,accepted,99.0,large
43,medium,accepted,46.0,medium
44,large,accepted,99.0,large
45,medium,accepted,46.0,medium
46,medium,accepted,46.0,medium
47,medium,accepted,46.0,medium
48,large,accepted,99.0,large
49,medium,accepted,67.0,medium
50,small,accepted,5.0,small
51,small,accepted,5.0,small
52,medium,accepted,46.0,medium
53,medium,accepted,46.0,medium
54,large,accepted,104.0,large
55,medium,accepted,46.0,medium
56,large,accepted,99.0,large
57,small,accepted,36.0,small
58,medium,accepted,46.0,medium
59,small,accepted,21.0,small
60,medium,accepted,74.0,medium
61,small,accepted,36.0,small
62,medium,accepted,53.0,medium
63,large,accepted,104.0,large
64,small,accepted,36.0,small
65,large,accepted,99.0,large
66,medium,accepted,46.0,medium
67,small,accepted,5.0,small
68,large,accepted,99.0,large
69,small,accepted,5.0,small
70,medium,accepted,53.0,medium
71,medium,accepted,67.0,medium
72,large,accepted,99.0,large
73,small,accepted,6.0,small
74,large,accepted,109.0,large
75,medium,accepted,46.0,medium
76,small,accepted,5.0,small
77,small,accepted,7.0,small
78,small,accepted,21.0,small
79,large,accepted,104.0,large
80,medium,accepted,60.0,medium
81,large,accepted,114.0,large
82,medium,accepted,74.0,medium
83,medium,accepted,74.0,medium
84,small,accepted,20.0,small
85,small,accepted,7.0,small
86,medium,accepted,46.0,medium
87,small,accepted,21.0,small
88,small,accepted,21.0,small
89,small,accepted,7.0,small
90,large,accepted,104.0,large
91,small,accepted,6.0,small
92,medium,accepted,81.0,medium
93,medium,accepted,81.0,medium
94,small,accepted,5.0,small
95,large,accepted,119.0,large
96,small,accepted,20.0,small
97,medium,accepted,53.0,medium
98,large,accepted,109.0,large
99,medium,accepted,53.0,medium
100,large,accepted,99.0,large
101,large,accepted,119.0,large
102,large,accepted,99.0,large
103,large,accepted,124.0,large
104,large,accepted,99.0,large
105,medium,accepted,88.0,medium
106,small,accepted,6.0,small
107,small,accepted,7.0,small
108,small,accepted,6.0,small
109,small,accepted,22.0,small
110,small,accepted,20.0,small
111,medium,accepted,53.0,medium
112,large,accepted,99.0,large
113,medium,accepted,67.0,medium
114,medium,accepted,74.0,medium
115,small,accepted,6.0,small
116,medium,accepted,46.0,medium
117,medium,accepted,67.0,medium
118,medium,accepted,81.0,medium
119,large,accepted,109.0,large
120,small,accepted,6.0,small
121,medium,accepted,53.0,medium
122,medium,accepted,88.0,medium
123,large,accepted,104.0,large
124,small,accepted,35.0,small
125,small,accepted,21.0,small
126,large,accepted,99.0,large
127,medium,accepted,60.0,medium
128,medium,accepted,60.0,medium
129,medium,accepted,46.0,medium
130,small,accepted,21.0,small
131,medium,accepted,67.0,medium
132,medium,accepted,74.0,medium
133,small,accepted,6.0,small
134,medium,accepted,46.0,medium
135,small,accepted,36.0,small
136,small,accepted,6.0,small
137,medium,accepted,46.0,medium
138,medium,accepted,67.0,medium
139,medium,accepted,53.0,medium
140,small,accepted,6.0,small
141,large,accepted,99.0,large
142,small,accepted,36.0,small
143,large,accepted,99.0,large
