locker_id,size,center_row_index,column_index,sequence_index
0,large,1,0,0
1,large,4,0,1
2,small,6,0,2
3,small,7,0,3
4,medium,8,0,4
5,small,10,0,5
6,medium,12,0,6
7,large,1,1,7
8,medium,4,1,8
9,small,5,1,9
10,small,6,1,10
11,small,7,1,11
12,small,8,1,12
13,medium,10,1,13
14,medium,12,1,14
15,medium,14,1,15
16,medium,0,2,16
17,medium,2,2,17
18,medium,4,2,18
19,medium,6,2,19
20,large,9,2,20
21,small,11,2,21
22,small,12,2,22
23,large,1,3,23
24,small,3,3,24
25,medium,4,3,25
26,large,7,3,26
27,medium,10,3,27
28,medium,12,3,28
29,medium,14,3,29
30,medium,0,4,30
31,large,3,4,31
32,small,5,4,32
33,large,7,4,33
34,medium,10,4,34
35,medium,12,4,35
36,medium,14,4,36
37,medium,0,5,37
38,small,2,5,38
39,medium,4,5,39
40,medium,6,5,40
41,small,7,5,41
42,large,9,5,42
43,small,11,5,43
44,small,12,5,44
45,small,13,5,45
46,medium,0,6,46
47,medium,2,6,47
48,medium,4,6,48
49,small,6,6,49
50,medium,8,6,50
51,small,9,6,51
52,medium,10,6,52
53,medium,12,6,53
54,small,14,6,54
55,medium,0,7,55
56,medium,2,7,56
57,large,5,7,57
58,small,7,7,58
59,medium,8,7,59
60,small,10,7,60
61,small,11,7,61
62,small,12,7,62
63,small,13,7,63
64,small,14,7,64
65,small,0,8,65
66,large,2,8,66
67,large,5,8,67
68,large,8,8,68
69,large,11,8,69
70,large,1,9,70
71,medium,4,9,71
72,small,5,9,72
73,medium,6,9,73
74,large,9,9,74
75,small,11,9,75
76,small,12,9,76
77,medium,14,9,77
78,medium,0,10,78
79,large,3,10,79
80,medium,6,10,80
81,small,7,10,81
82,small,8,10,82
83,small,9,10,83
84,medium,10,10,84
85,medium,12,10,85
86,medium,0,11,86
87,large,3,11,87
88,small,5,11,88
89,medium,6,11,89
90,small,8,11,90
91,small,9,11,91
92,large,11,11,92
93,large,1,12,93
94,small,3,12,94
95,small,4,12,95
96,medium,6,12,96
97,medium,8,12,97
98,large,10,12,98
99,small,12,12,99
100,medium,14,12,100
101,medium,0,13,101
102,medium,2,13,102
103,medium,4,13,103
104,medium,6,13,104
105,medium,8,13,105
106,large,11,13,106
107,large,1,14,107
108,small,3,14,108
109,medium,4,14,109
110,medium,6,14,110
111,medium,8,14,111
112,medium,10,14,112
113,small,12,14,113
114,small,13,14,114
115,medium,0,15,115
116,medium,2,15,116
117,small,4,15,117
118,large,6,15,118
119,large,9,15,119
120,large,12,15,120
121,large,1,16,121
122,small,3,16,122
123,medium,4,16,123
124,large,7,16,124
125,large,10,16,125
126,small,12,16,126
127,large,1,17,127
128,small,3,17,128
129,medium,4,17,129
130,small,6,17,130
131,small,7,17,131
132,medium,8,17,132
133,medium,10,17,133
134,medium,12,17,134
135,small,14,17,135
136,large,1,18,136
137,small,3,18,137
138,large,5,18,138
139,medium,8,18,139
140,large,10,18,140
141,small,12,18,141
142,medium,14,18,142
143,medium,0,19,143
144,medium,2,19,144
145,small,4,19,145
146,medium,6,19,146
147,small,7,19,147
148,medium,8,19,148
149,medium,10,19,149
150,large,13,19,150
151,large,1,20,151
152,medium,4,20,152
153,large,6,20,153
154,small,8,20,154
155,medium,10,20,155
156,large,12,20,156
157,medium,0,21,157
158,medium,2,21,158
159,medium,4,21,159
160,small,6,21,160
161,medium,8,21,161
162,small,9,21,162
163,medium,10,21,163
164,large,13,21,164
165,medium,0,22,165
166,large,3,22,166
167,small,5,22,167
168,small,6,22,168
169,large,8,22,169
170,large,11,22,170
171,large,1,23,171
172,large,4,23,172
173,large,7,23,173
174,large,10,23,174
175,large,13,23,175
176,large,1,24,176
177,large,4,24,177
178,large,7,24,178
179,large,10,24,179
180,large,13,24,180
181,large,1,25,181
182,large,4,25,182
183,large,7,25,183
184,large,10,25,184
185,large,13,25,185
186,large,1,26,186
187,large,4,26,187
188,large,7,26,188
189,large,10,26,189
190,large,13,26,190
191,large,1,27,191
192,large,4,27,192
193,large,7,27,193
194,large,10,27,194
195,large,13,27,195
196,large,1,28,196
197,large,4,28,197
198,large,7,28,198
199,large,10,28,199
200,large,13,28,200
201,large,1,29,201
202,large,4,29,202
203,large,7,29,203
204,large,10,29,204
205,large,13,29,205
206,large,1,30,206
207,large,4,30,207
208,large,7,30,208
209,large,10,30,209
210,large,13,30,210
211,large,1,31,211
212,large,4,31,212
213,large,7,31,213
214,large,10,31,214
215,large,13,31,215
216,large,1,32,216
217,large,4,32,217
218,large,7,32,218
219,large,10,32,219
220,large,13,32,220
221,large,1,33,221
222,large,4,33,222
223,large,7,33,223
224,large,10,33,224
225,large,13,33,225
226,large,1,34,226
227,large,4,34,227
228,large,7,34,228
229,small,9,34,229
230,small,10,34,230
231,small,11,34,231
232,small,12,34,232
233,small,13,34,233
234,small,14,34,234
235,small,0,35,235
236,small,1,35,236
237,small,2,35,237
238,small,3,35,238
239,small,4,35,239
240,small,5,35,240
241,small,6,35,241
242,small,7,35,242
243,small,8,35,243
244,large,10,35,244
245,large,13,35,245
246,large,1,36,246
247,large,4,36,247
248,large,7,36,248
249,large,10,36,249
250,large,13,36,250
251,large,1,37,251
252,large,4,37,252
253,large,7,37,253
254,large,10,37,254
255,large,13,37,255
256,large,1,38,256
257,large,4,38,257
258,large,7,38,258
