small,medium,large,feasible,min_daily_sl,overall_sl,revenue,ergonomic_cost,width,height,capex_amort,total_cost,vol_util_overall,oversize_rate,worst_instance_idx,worst_day,worst_rejects_by_size,objective,phase,temp,accepted
60,71,41,True,1.0,1.0,547799.8,21943.021428571432,23,15,44975.0,66918.02142857143,0.7021014415942336,0.0,,,,473722.35520912206,init,50000.0,True
60,72,41,True,1.0,1.0,547799.8,22226.257142857146,23,15,45157.0,67383.25714285715,0.7021014415942336,0.0,,,,473257.1194948363,iter1,50000.0,True
60,72,41,True,1.0,1.0,547799.8,21949.74285714286,23,15,45157.0,67106.74285714286,0.7021014415942336,0.0,,,,473533.6337805506,iter2,49000.0,True
59,73,41,True,1.0,1.0,547799.8,21950.62142857143,23,15,45248.0,67198.62142857144,0.7021014415942336,0.0,,,,473441.7552091221,iter3,48020.0,True
58,74,41,True,1.0,1.0,547799.8,21977.657142857144,23,15,45339.0,67316.65714285715,0.7021014415942336,0.0,,,,473323.71949483635,iter4,47059.6,True
57,74,41,True,1.0,1.0,547799.8,21977.657142857144,23,15,45248.0,67225.65714285715,0.7021014415942336,0.0,,,,473414.71949483635,iter5,46118.407999999996,True
57,74,40,True,1.0,1.0,547799.8,21985.200000000004,23,15,44975.0,66960.20000000001,0.7021014415942336,0.0,,,,473680.1766376935,iter6,45196.03984,True
57,74,40,True,1.0,1.0,547799.8,21643.14285714286,23,15,44975.0,66618.14285714286,0.7021014415942336,0.0,,,,474022.23378055065,iter7,44292.1190432,True
57,74,40,True,1.0,1.0,547799.8,21643.14285714286,23,15,44975.0,66618.14285714286,0.7021014415942336,0.0,,,,474022.23378055065,iter8,43406.276662336,True
56,74,41,True,1.0,1.0,547799.8,21631.485714285718,23,15,45157.0,66788.48571428572,0.7021014415942336,0.0,,,,473851.89092340774,iter9,42538.15112908928,True
55,74,41,True,1.0,1.0,547799.8,21505.350000000002,23,15,45066.0,66571.35,0.7021014415942336,0.0,,,,474069.0266376935,iter10,41687.3881065075,True
55,74,41,True,1.0,1.0,547799.8,21505.350000000002,23,15,45066.0,66571.35,0.7021014415942336,0.0,,,,474069.0266376935,iter11,40853.640344377345,True
56,74,41,True,1.0,1.0,547799.8,21615.114285714288,23,15,45157.0,66772.11428571428,0.7021014415942336,0.0,,,,473868.2623519792,iter12,40036.5675374898,True
56,74,40,True,1.0,1.0,547799.8,21422.37142857143,23,15,44884.0,66306.37142857144,0.7021014415942336,0.0,,,,474334.0052091221,iter13,39235.83618674,True
56,74,40,True,1.0,1.0,547799.8,21422.37142857143,23,15,44884.0,66306.37142857144,0.7021014415942336,0.0,,,,474334.0052091221,iter14,38451.1194630052,True
57,74,40,True,1.0,1.0,547799.8,21422.37142857143,23,15,44975.0,66397.37142857144,0.7021014415942336,0.0,,,,474243.0052091221,iter15,37682.09707374509,True
57,74,40,True,1.0,1.0,547799.8,21427.59285714286,23,15,44975.0,66402.59285714285,0.7021014415942336,0.0,,,,474237.78378055064,iter16,36928.45513227019,True
57,74,40,True,1.0,1.0,547799.8,21587.27142857143,23,15,44975.0,66562.27142857143,0.7021014415942336,0.0,,,,474078.10520912206,iter17,36189.88602962478,True
57,73,40,True,1.0,1.0,547799.8,21588.914285714287,23,15,44793.0,66381.91428571429,0.7021014415942336,0.0,,,,474258.4623519792,iter18,35466.08830903228,True
57,73,40,True,1.0,1.0,547799.8,21900.96428571429,23,15,44793.0,66693.96428571429,0.7021014415942336,0.0,,,,473946.4123519792,iter19,34756.766542851634,True
56,73,40,True,1.0,1.0,547799.8,21841.442857142858,23,15,44702.0,66543.44285714286,0.7021014415942336,0.0,,,,474096.9337805506,iter20,34061.6312119946,True
57,72,40,True,1.0,1.0,547799.8,21841.442857142858,23,15,44611.0,66452.44285714286,0.7021014415942336,0.0,,,,474187.9337805506,iter21,33380.39858775471,True
57,72,40,True,1.0,1.0,547799.8,21841.442857142858,23,15,44611.0,66452.44285714286,0.7021014415942336,0.0,,,,474187.9337805506,iter22,32712.790615999613,True
58,72,40,True,1.0,1.0,547799.8,21691.850000000002,23,15,44702.0,66393.85,0.7021014415942336,0.0,,,,474246.5266376935,iter23,32058.53480367962,True
58,73,39,True,1.0,1.0,547799.8,21313.800000000003,23,15,44611.0,65924.8,0.7021014415942336,0.0,,,,474715.5766376935,iter24,31417.364107606027,True
57,73,39,True,1.0,1.0,547799.8,21313.800000000003,23,15,44520.0,65833.8,0.7021014415942336,0.0,,,,474806.5766376935,iter25,30789.016825453906,True
57,73,39,True,1.0,1.0,547799.8,21807.407142857144,23,15,44520.0,66327.40714285715,0.7021014415942336,0.0,,,,474312.96949483635,iter26,30173.236488944825,True
57,73,39,True,1.0,1.0,547799.8,21523.29285714286,23,15,44520.0,66043.29285714286,0.7021014415942336,0.0,,,,474597.08378055063,iter27,29569.771759165928,True
56,74,39,True,1.0,1.0,547799.8,21775.235714285714,23,15,44611.0,66386.23571428572,0.7021014415942336,0.0,,,,474254.14092340774,iter28,28978.376323982608,True
56,74,39,True,1.0,1.0,547799.8,21792.892857142862,23,15,44611.0,66403.89285714287,0.7021014415942336,0.0,,,,474236.48378055065,iter29,28398.808797502956,True
56,74,39,True,1.0,1.0,547799.8,22001.52142857143,23,15,44611.0,66612.52142857143,0.7021014415942336,0.0,,,,474027.85520912206,iter30,27830.832621552898,True
